source_city,target_city
Maseru (Maseru District),Maseru
Maseru (Berea Distict),Berea
Mafeteng,Mafeteng
Mohale's Hoek,Mohale's Hoek
Quthing,Quthing
Qacha's Nek,Qacha's Nek
Mokhotlong,Mokhotlong
Thaba-Tseka,Thaba-Tseka
Leribe,Leribe
Butha-Buthe (Butha-Buthe District),Butha-Buthe
Moshoeshoe,Moshoeshoe I
oxbowd,Oxbow
Semonkong,Semonkong
